DATE,GPU,MARKET,RKFREE
7601,0.05412,0.156,0.00369
7602,-0.01429,0.069,0.00369
7603,0.01449,0.01,0.0039
7604,-0.01886,-0.012,0.00383
7605,-0.01493,0.005,0.00415
7606,0.01515,0.016,0.00431
7607,0.05493,-0.017,0.00416
7608,0.05797,-0.016,0.00389
7609,0.0411,0.007,0.00412
7610,-0.01737,-0.029,0.00386
7611,0.00685,0,0.00355
7612,0.06122,0.111,0.00345
7701,0.02154,0.015,0.00372
7702,-0.05769,-0.012,0.00362
7703,0.02041,0.008,0.00367
7704,0.0224,0.004,0.00359
7705,0.04,-0.005,0.00394
7706,0.02564,0.07,0.004
7707,0.02824,-0.002,0.00435
7708,0.02659,-0.023,0.00445
7709,0.02424,0.008,0.00476
7710,-0.03243,-0.051,0.00473
7711,0.04375,0.083,0.0045
7712,0,0.039,0.00467
7801,-0.06874,-0.045,0.00487
7802,0.01974,0.01,0.00494
7803,0.02581,0.05,0.00526
7804,-0.00931,0.063,0.00491
7805,-0.03247,0.067,0.00513
7806,-0.00671,0.007,0.00527
7807,0.04405,0.071,0.00528
7808,-0.04636,0.079,0.00607
7809,0.03472,0.002,0.00645
7810,-0.07651,-0.189,0.00685
7811,0.04478,0.084,0.00719
7812,0,0.015,0.0069
7901,0.05429,0.058,0.00761
7902,-0.05556,0.011,0.00761
7903,-0.04412,0.123,0.00769
7904,-0.33077,0.026,0.00764
7905,-0.17241,0.014,0.00772
7906,0.15714,0.075,0.00715
